"Purchase the ""cut tape"" option from DigiKey for all items.",,,,,,,,,,,
,Item,MFR,MFR P/N,Vendor,Vendor P/N,Quantity,Price,Total Price ,Product link ,,Project Total
,STM32G0 Nucleo Development Board,STMicroelectronics,NUCLEO-G031K8,DigiKey,497-19569-ND,1,$10.97,$10.97,https://www.digikey.com/en/products/detail/stmicroelectronics/NUCLEO-G031K8/10321671,,$94.54
,Real-Time Clock (DIP Package) ,Microchip Technology,MCP7940N-I/P,DigiKey,MCP7940N-I/P-ND,3,$0.92,$2.76,https://www.digikey.com/en/products/detail/microchip-technology/MCP7940N-I-P/3872279,,
,32.768 kHz clock (TH package),ECS Inc.,ECS-.327-8-14X,DigiKey,X1125-ND,2,$1.17,$2.34,https://www.digikey.com/en/products/detail/ecs-inc/ECS-327-8-14X/827616,,
,22 pF capacitors (TH package),Vishay Beyschlag/Draloric/BC Components,K220J10C0GF5UH5,DigiKey,BC5230CT-ND,4,$0.23,$0.92,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K220J10C0GF5UH5/2821614,,
,"Push buttons (temporary, TH package)",Nidec Components Corporation,TR1-01,DigiKey,563-1932-5-ND,6,$0.45,$2.70,https://www.digikey.com/en/products/detail/nidec-components-corporation/TR1-01/5125294,,$94.54
,Capacitive touch sensor (SMT package),Infineon Technologies,CY8CMBR3102-SX1IT,DigiKey,448-CY8CMBR3102-SX1ITCT-ND,2,$2.04,$4.08,https://www.digikey.com/en/products/detail/infineon-technologies/CY8CMBR3102-SX1IT/5825528,,
,0.1 uF decoupling capacitors (TH) ,Nichicon,UMW1H0R1MDD1TP,DigiKey,493-10366-1-ND,4,$0.38,$1.52,https://www.digikey.com/en/products/detail/nichicon/UMW1H0R1MDD1TP/4312365,,
,2.2nF Capacitor (TH) ,KEMET,C731U222MZWDAA7317,DigiKey,399-C731U222MZWDAA7317CT-ND,2,$0.43,$0.86,https://www.digikey.com/en/products/detail/kemet/C731U222MZWDAA7317/17838303,,
,8SOIC adapter board ,Aries Electronics,LCQT-SOIC8-8,DigiKey,A880AR-ND,1,$3.03,$3.03,https://www.digikey.com/en/products/detail/aries-electronics/LCQT-SOIC8-8/4754588,,
,Red LEDs - TH,Würth Elektronik,151031SS04000,DigiKey,732-5005-ND,60,$0.18,$10.80,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/151031SS04000/4489979,,
,Buzzer - option 1,Murata Electronics,PKM22EPPH2001-B0,DigiKey,490-4691-ND,2,$0.73,$1.46,https://www.digikey.com/en/products/detail/murata-electronics/PKM22EPPH2001-B0/1219322,,
,Buzzer - option 2,Murata Electronics,PKM13EPYH4002-B0,DigiKey,490-4697-ND,2,$0.39,$0.78,https://www.digikey.com/en/products/detail/murata-electronics/PKM13EPYH4002-B0/1219328,,
,Buzzer - option 3,CUI Devices,CMI-9605IC-0380T,DigiKey,2223-CMI-9605IC-0380T-ND,1,$1.34,$1.34,https://www.digikey.com/en/products/detail/cui-devices/CMI-9605IC-0380T/11674180,,
,USB A Male to micro B male cable,Assmann WSW Components,AK67421-0.3-VM,DigiKey,AE11229-ND,1,$2.70,$2.70,https://www.digikey.com/en/products/detail/assmann-wsw-components/AK67421-0-3-VM/5428793,,
,IO Expanding LED Driver - 24 TSSOP,NXP USA Inc.,"PCA9532PW,118",DigiKey,568-11909-1-ND,2,$3.26,$6.52,https://www.digikey.com/en/products/detail/nxp-usa-inc/PCA9532PW-118/1157036,,
,120VAC-12VDC adapter,XP Power,ACM18US12,DigiKey,1470-3950-ND,1,$15.35,$15.35,https://www.digikey.com/en/products/detail/xp-power/ACM18US12/6595122,,
,Barrel Jack - breadboard adapter,Chip Quik Inc.,CN0020,DigiKey,CN0020-ND,1,$5.29,$5.29,https://www.digikey.com/en/products/detail/chip-quik-inc./CN0020/5978267,,
,TSSOP to DIP adapter board (28P),Adafruit Industries LLC,1208,DigiKey,1528-1068-ND,1,$4.95,$4.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1208/5022797,,
,7-seg display driver IC,Analog Devices Inc./Maxim Integrated,MAX6958AAEE+T,DigiKey,MAX6958AAEE+CT-ND,1,$11.38,$11.38,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX6958AAEE-T/1521774,,
,QSOP to DIP adapter,Chip Quik Inc.,PA0028,DigiKey,PA0028-ND,1,$4.79,$4.79,https://www.digikey.com/en/products/detail/chip-quik-inc/PA0028/5014737,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
